Search Name,Address,Address Lat,Address Long,Nearest MRT Station,Nearest MRT Distance,Nearest Mall Name,Nearest Mall Distance,Nearest Bus Stop Code,Nearest Bus Stop Distance,Number of Bus Stops,Nearest NPC,Nearest NPC Distance,Nearest School,Nearest School Distance,Nearest Green Area,Nearest Green Area Distance
546 ANG MO KIO AVE 10,546 ANG MO KIO AVENUE 10,1.37365123866689,103.857022220393,ANG MO KIO MRT STATION (NS16),0.9270475867033995,CATHAY CINEPLEX AMK HUB,1.0726851455501094,54439 (BUS STOP),0.04330082747751269,1,Ang Mo Kio South Neighbourhood Police Centre,0.7216880849536782,Jing Shan Primary School,0.5660046969903405,Ang Mo Kio Town Garden East,0.798523421906635
131 ANG MO KIO AVE 3,131 ANG MO KIO AVENUE 3,1.37101536386003,103.841800323712,MAYFLOWER MRT STATION (TE6),0.5837955574116382,CATHAY CINEPLEX AMK HUB,0.76805048603652,54231 (BUS STOP),0.15148348528677535,1,Ang Mo Kio South Neighbourhood Police Centre,1.1084049131192821,Ang Mo Kio Primary School,0.3059817446709047,Ang Mo Kio Town Garden West,0.3730365818722635
254 ANG MO KIO AVE 4,254 ANG MO KIO AVENUE 4,1.37020344042146,103.834687722549,MAYFLOWER MRT STATION (TE6),0.25159368226875395,CATHAY CINEPLEX AMK HUB,1.5356172647513442,54169 (BUS STOP),0.0777688779192699,2,Ang Mo Kio South Neighbourhood Police Centre,1.8926059459522107,Mayflower Secondary School,0.22735468802202732,Ang Mo Kio Town Garden West,1.018633755414337
470 ANG MO KIO AVE 10,470 ANG MO KIO AVENUE 10,1.36409807919403,103.856694220704,ANG MO KIO MRT STATION (NS16),1.02480547328351,MYVILLAGE AT SERANGOON GARDEN,0.9477988246163337,54379 (BUS STOP),0.15787894841820893,2,Ang Mo Kio South Neighbourhood Police Centre,0.8519647335907108,Deyi Secondary School,0.5071989706187311,Ang Mo Kio Town Garden East,1.0076114612669544
463 ANG MO KIO AVE 10,463 ANG MO KIO AVENUE 10,1.36694793518613,103.857487648675,ANG MO KIO MRT STATION (NS16),0.9418933613106406,MYVILLAGE AT SERANGOON GARDEN,0.8768483045323956,54389 (BUS STOP),0.11606682247299989,1,Ang Mo Kio South Neighbourhood Police Centre,0.7221752295786767,Deyi Secondary School,0.5594392658122036,Ang Mo Kio Town Garden East,0.8835638775099387
207 ANG MO KIO AVE 1,207 ANG MO KIO AVENUE 1,1.36582089504381,103.842847772078,ANG MO KIO MRT STATION (NS16),0.8749216723709035,CATHAY CINEPLEX AMK HUB,0.7283495124481899,54011 (BUS STOP),0.0683172664183879,2,Bishan Neighbourhood Police Centre,1.042272319634818,Ang Mo Kio Secondary School,0.18535187495942881,Bishan-Ang Mo Kio Park,0.7519615685710773
304 ANG MO KIO AVE 1,304 ANG MO KIO AVENUE 1,1.36628642816469,103.844994760928,ANG MO KIO MRT STATION (NS16),0.6494070118131708,CATHAY CINEPLEX AMK HUB,0.5032525629731426,54019 (BUS STOP),0.09088070423301685,2,Ang Mo Kio South Neighbourhood Police Centre,0.8488477677547074,Ang Mo Kio Secondary School,0.33660568602025986,Bishan-Ang Mo Kio Park,0.6492345426149436
646 ANG MO KIO AVE 6,646 ANG MO KIO AVENUE 6,1.37939517687868,103.843763599411,YIO CHU KANG MRT STATION (NS15),0.29362961007716076,CATHAY CINEPLEX AMK HUB,1.2489990233482196,55209 (BUS STOP),0.1053201528849844,3,Ang Mo Kio North Neighbourhood Police Centre,0.6416151879899835,Anderson Serangoon Junior College,0.22762497076238822,Ang Mo Kio Town Garden West,0.5882974866790438
328 ANG MO KIO AVE 3,328 ANG MO KIO AVENUE 3,1.36661793708764,103.84786688518,ANG MO KIO MRT STATION (NS16),0.4137771497438497,CATHAY CINEPLEX AMK HUB,0.293966241650934,54247 (BUS STOP),0.24739329118620315,0,Ang Mo Kio South Neighbourhood Police Centre,0.5633209643381237,Teck Ghee Primary School,0.36211556527709093,Ang Mo Kio Town Garden East,0.5379879414224319
588C ANG MO KIO ST 52,588C ANG MO KIO STREET 52,1.37183157010083,103.853670978083,ANG MO KIO MRT STATION (NS16),0.5035957301556011,CATHAY CINEPLEX AMK HUB,0.6488511484259626,54411 (BUS STOP),0.08492738562340592,3,Ang Mo Kio South Neighbourhood Police Centre,0.30447206008334693,Jing Shan Primary School,0.17677955242476748,Ang Mo Kio Town Garden East,0.37697600212638105
588D ANG MO KIO ST 52,588D ANG MO KIO STREET 52,1.37175400663025,103.8538833087,ANG MO KIO MRT STATION (NS16),0.5217100168622305,CATHAY CINEPLEX AMK HUB,0.6662575588574053,54411 (BUS STOP),0.07691045339688547,2,Ang Mo Kio South Neighbourhood Police Centre,0.31615321395554774,Jing Shan Primary School,0.20180979373742408,Ang Mo Kio Town Garden East,0.3966329650925879
